jurisdiction,pollster,poll_date,source_year,question_wording,sample_size,pct_favorable,favorable_definition,source_url,inferred_or_direct,fact_check_result,fact_check_notes,recency_flag,notes
California,Public Policy Institute of California (PPIC) Statewide Survey,2024-09,2024,"How much of the time do you think you can trust the state government in Sacramento to do what is right - just about always, most of the time, only some of the time, or none of the time?","unknown (not confirmed; PPIC typically ~1,600-1,700 CA adults)",42,just about always (5%) + most of the time (37%),https://www.ppic.org/blog/californians-trust-sacramento-more-than-washington/,DIRECT,UNABLE_TO_VERIFY,"ppic.org returned HTTP 403 on every fetch attempt; the 42% (5%+37%) came from search-result snippets, not a page actually opened. Not marked verified per guardrail.",OK,Trust-in-state-government question (qualifies). Sample not confirmed -> sample weight 0.4. Only qualifying CA poll found. EXCLUDED FROM P (strict rule): UNABLE_TO_VERIFY, figure never confirmed on an openable page; CA now sentiment-only.
Texas,Texas Politics Project (UT Austin),2022-06,2022,...opinion of each one: The Texas state government (very favorable / somewhat favorable / neither / somewhat unfavorable / very unfavorable),1200,40,very favorable + somewhat favorable,https://texaspolitics.utexas.edu/set/texas-state-government-favorability-june-2022,DIRECT,UNABLE_TO_VERIFY,"Question wording confirmed on the page, but the 40%/41% figures render via JS chart not captured by fetch; only appeared in search snippets. Sample/dates from a companion TPP blog post.",AGING,Institution-favorability item. 2022 -> AGING (recency 0.7). EXCLUDED FROM P (strict rule): UNABLE_TO_VERIFY; TX P now uses ONLY the MATCH-verified 37% responsiveness proxy.
Texas,Texas Politics Project (UT Austin),2022-12,2022,Which better describes your opinion about state government in Austin: mostly addresses the needs of Texans / mostly ignores the needs of Texans,1200,37,percent choosing 'mostly addresses the needs of Texans' (responsiveness proxy),https://texaspolitics.utexas.edu/blog/between-election-and-looming-session-december-uttexas-politics-project-poll-finds-texans,INFERRED,MATCH,"Fetched page confirmed 37% 'mostly addresses' vs 46% 'mostly ignores', n=1,200 RV, Dec 2-11 2022, MoE +/-2.89.",AGING,Responsiveness proxy about state government overall -> directness 0.6. Supporting item to the June 2022 favorability poll.
Wyoming,Wyoming Survey & Analysis Center (WYSAC) / University of Wyoming,2024-10,2024,How much of the time do you think you can trust state government to do what is right? (almost always / most of the time / some of the time / never),739,39,almost always (3%) + most of the time (36%),https://www.uwyo.edu/news/2024/11/uw-survey-finds-disapproval-of-federal-leadership-higher-reviews-for-state-officials.html,INFERRED,MATCH,"UW news release + WYSAC project page both show almost always 3%, most of the time 36%, some 52%, never 8%. Summed 3+36=39%.",OK,Only qualifying WY poll; biennial survey. n=739 -> sample weight 0.7. The one verified poll in the pilot.
Vermont,NO_QUALIFYING_POLL,,,,,,,,,,,,"searched: Vermont 'state government' approval/trust; UVM Center for Rural Studies Vermonter Poll; UNH Green Mountain State Poll. Found only Governor Phil Scott approval, a legislature-trust item, and right-direction/wrong-track - all excluded per guardrail. No institution-level state-government poll exists. | CONFIRMED no institution-level poll after corrected-rule re-check (2026-07-14): instrument found (PARCA / Arkansas Poll / AZPOP-CFA / Vermonter Poll+Civic Health Index / WaPo-Schar) but none has a generic state-government approval/trust/confidence/satisfaction item."
"Washington, D.C.",NO_QUALIFYING_POLL,,,,,,,,,,,,"searched: WaPo-Schar School, Gallup, YouGov, WJLA, GGWash DC polls. All measure mayor/D.C. Council approval, statehood, federal oversight/takeover, or specific-issue satisfaction - none a general approval/trust in D.C. government as a whole. No qualifying poll. | CONFIRMED no institution-level poll after corrected-rule re-check (2026-07-14): instrument found (PARCA / Arkansas Poll / AZPOP-CFA / Vermonter Poll+Civic Health Index / WaPo-Schar) but none has a generic state-government approval/trust/confidence/satisfaction item."
Alabama,NO_QUALIFYING_POLL,,,,,,,,,,,,searched: Alabama state-government approval/trust; PARCA Public Opinion Survey has only political-efficacy items ('61% no say in state government'; '63% officials don't care') - not an approve/trust-in-state-government question; Morning Consult/1819News Ivey approval (official-specific). No qualifying institution-level poll. | CONFIRMED no institution-level poll after corrected-rule re-check (2026-07-14): instrument found (PARCA / Arkansas Poll / AZPOP-CFA / Vermonter Poll+Civic Health Index / WaPo-Schar) but none has a generic state-government approval/trust/confidence/satisfaction item.
Alaska,NO_QUALIFYING_POLL,,,,,,,,,,,,"searched: Alaska state-government approval/trust; Alaska Survey Research/Ivan Moore, Dittman Research, Remington, Data for Progress. All cover governor (Dunleavy), US Senators, or Legislature specifically - none ask about Alaska state government as a whole. No qualifying poll. | CONFIRMED no institution-level poll after corrected-rule re-check (2026-07-14): instrument found (PARCA / Arkansas Poll / AZPOP-CFA / Vermonter Poll+Civic Health Index / WaPo-Schar) but none has a generic state-government approval/trust/confidence/satisfaction item."
Arizona,NO_QUALIFYING_POLL,,,,,,,,,,,,"searched: Arizona state-government approval/trust; Noble Predictive Insights AZPOP, Center for the Future of Arizona, R Street. Found only Hobbs approval, Trump approval, election trust, generic ballot, right-direction/wrong-track. No qualifying institution-level poll. | CONFIRMED no institution-level poll after corrected-rule re-check (2026-07-14): instrument found (PARCA / Arkansas Poll / AZPOP-CFA / Vermonter Poll+Civic Health Index / WaPo-Schar) but none has a generic state-government approval/trust/confidence/satisfaction item."
Arkansas,NO_QUALIFYING_POLL,,,,,,,,,,,,"searched: Arkansas Poll (Univ. of Arkansas, Janine Parry) trust/approval state government. The Arkansas Poll asks approval of the Governor and Legislature separately, but no approval/trust-in-state-government-as-a-whole item. No qualifying poll. | CONFIRMED no institution-level poll after corrected-rule re-check (2026-07-14): instrument found (PARCA / Arkansas Poll / AZPOP-CFA / Vermonter Poll+Civic Health Index / WaPo-Schar) but none has a generic state-government approval/trust/confidence/satisfaction item."
